,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
132,Salade de Fruits Cafe,4.2,175,French,vancouver,BC,"1551 West 7th Avenue Vancouver, BC V6J 1S1 Canada",49.2655967,-123.1400538,BC,25
133,Green Leaf Sushi,4.0,394,Sushi Bars,vancouver,BC,"3416 W Broadway Vancouver, BC V6R 2B3 Canada",49.2641219,-123.180152,BC,25
134,Grub,4.2,181,Italian,vancouver,BC,"4328 Main Street Vancouver, BC V5V 3P9 Canada",49.2464485,-123.1010277,BC,25
135,Kozak Ukraïnian Eatery,4.4,30,Ukrainian,vancouver,BC,"1 W Cordova Street Vancouver, BC V6C 3N8 Canada",49.2827218,-123.1046125,BC,25
136,Indian Delicacy,4.5,105,Indian,vancouver,BC,"1130 West pender st Vancouver, BC V6E 4A4 Canada",49.2874837,-123.1216012,BC,25
137,Cactus Club Cafe,4.1,475,Canadian (New),vancouver,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada",49.2894022,-123.1180433,BC,25
138,Cactus Club Cafe,4.1,475,Canadian (New),vancouver,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada",48.424893,-123.364927,BC,25
139,Peaked Pies,4.4,196,Australian,vancouver,BC,"975 Denman Street Vancouver, BC V6G Canada",49.2897,-123.1384318,BC,25
140,La Taqueria Pinche Taco Shop,4.2,681,Mexican,vancouver,BC,"322 W Hastings Street Vancouver, BC V8B 1K6 Canada",49.2829621,-123.1105621,BC,25
141,Little Jumbo,4.4,275,Canadian (New),victoria,BC,"506 Fort Street Suite 102 Victoria, BC V8W 1E6 Canada",48.42527,-123.36928,BC,45
142,Red Fish Blue Fish,4.5,1300,Fish & Chips,victoria,BC,"1006 Wharf Street Victoria, BC V8W 1T4 Canada",48.4243421,-123.3705879,BC,25
143,Nubo Japanese Tapas,4.4,395,Sushi Bars,victoria,BC,"739 Pandora Avenue Victoria, BC V8W 1N9 Canada",48.42769149999999,-123.3634927,BC,25
144,Il Terrazzo Ristorante,4.5,614,Italian,victoria,BC,"555 Johnson Street Victoria, BC V8W 1M2 Canada",48.4274056,-123.36944,BC,45
145,Ithaka Greek Restaurant,4.5,144,Greek,victoria,BC,"716 Burdett Avenue Victoria, BC V8W 3G2 Canada",48.4223019,-123.3648329,BC,25
146,Bodega,4.5,133,Tapas/Small Plates,victoria,BC,"1210 Broad Street Victoria, BC V8W 2A4 Canada",48.4259598,-123.3667139,BC,25
147,Fishhook,4.5,309,Seafood,victoria,BC,"805 Fort Street Victoria, BC V8W 1H6 Canada",48.4241523,-123.3621483,BC,25
148,Blue Fox Cafe,4.4,817,Breakfast & Brunch,victoria,BC,"919 Fort Street Suite 101 Victoria, BC V8V 3K3 Canada",48.42364999999999,-123.35877,BC,25
