restaurant_name,address
Nayya Restaurant,"540 Southgate Drive Bedford, NS B4A 0E1 Canada"
Medi Terra Kitchen & Turkish Grocery,"111 Cobequid Road Lower Sackville, NS B4C 2N1 Canada"
Encore,"3009 Highway #2 Halifax, NS B2T 1J5 Canada"
Tako Loko,"3248 Isleville Street Halifax, NS B3K 3Y5 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Esquire Restaurant,"772 Bedford Hwy Bedford, NS B4A 1A2 Canada"
Bi One,"1030 South Park Street Halifax, NS B3H 2W3 Canada"
Shanxi Paomo Chinese Restaurant,"6253 Quinpool Road Halifax, NS B3L 1A4 Canada"
Wasabi House,"6403 Quinpool Road Halifax, NS B3L 1A7 Canada"
Roll It Up,"1995 Brunswick Street Halifax, NS B3J 2G9 Canada"
Holt's General Store & Take-Out,"2290 Prospect Road Hatchet Lake, NS B3T 1S9 Canada"
The Rooftop,"1567 Grafton Street Halifax, NS B3J 2C3 Canada"
Fong's Restaurant,"1241 Cole Harbour Road Dartmouth, NS B2V 1N1 Canada"
Bar Sofia,"104-1709 Lower Water Street Halifax, NS B3J 1S5 Canada"
The Ostrich Club,"5529 Young Street Halifax, NS B3K 1Z7 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
